data_variant,domain,label,label_id,base_split,count
Source_Domain_Lab_Enhanced,source,coal,0,test,5
Source_Domain_Lab_Enhanced,source,coal,0,train,21
Source_Domain_Lab_Enhanced,source,coal,0,val,4
Source_Domain_Lab_Enhanced,source,gangue,1,test,5
Source_Domain_Lab_Enhanced,source,gangue,1,train,21
Source_Domain_Lab_Enhanced,source,gangue,1,val,4
Source_Domain_Lab_Raw,source,coal,0,test,5
Source_Domain_Lab_Raw,source,coal,0,train,21
Source_Domain_Lab_Raw,source,coal,0,val,4
Source_Domain_Lab_Raw,source,gangue,1,test,5
Source_Domain_Lab_Raw,source,gangue,1,train,21
Source_Domain_Lab_Raw,source,gangue,1,val,4
Target_Domain_Field_Raw,target,coal,0,test,5
Target_Domain_Field_Raw,target,coal,0,train,21
Target_Domain_Field_Raw,target,coal,0,val,4
Target_Domain_Field_Raw,target,gangue,1,test,5
Target_Domain_Field_Raw,target,gangue,1,train,21
Target_Domain_Field_Raw,target,gangue,1,val,4
